time,icao24,lat,lon,velocity,heading,vertrate,baroaltitude,geoaltitude,callsign
1711532970,e495b3,-23.6396484375,-46.647491455078125,76.34771873946464,147.3807569288072,14.305280000000002,929.6400000000001,990.6000000000001,AZU6011 
1711532971,e495b3,-23.64019775390625,-46.64713541666663,76.34771873946464,147.3807569288072,13.004800000000001,944.88,998.22,AZU6011 
1711532972,e495b3,-23.640809139962926,-46.646705483490564,76.34771873946464,147.3807569288072,12.679680000000001,960.12,1021.08,AZU6011 
1711532973,e495b3,-23.641367766816757,-46.646290905070714,77.05849103067379,147.2647737278924,12.029440000000001,975.36,1036.32,AZU6011 
1711532974,e495b3,-23.64197294590838,-46.64587632665092,77.05849103067379,147.2647737278924,11.704320000000001,982.98,1028.7,AZU6011 
1711532975,e495b3,-23.642624677237848,-46.64540992592862,77.05849103067379,147.2647737278924,11.05408,998.22,1043.94,AZU6011 
1711532976,e495b3,-23.642950542902554,-46.64520263671875,77.33789122075672,146.94417718844633,10.72896,1005.84,1051.56,AZU6011 
1711532977,e495b3,-23.643555721994176,-46.6447880582989,78.48095716721431,147.0391121160223,10.40384,1013.46,1074.42,AZU6011 
1711532978,e495b3,-23.644271850585938,-46.644287109375,78.91309373969621,147.24233119887444,10.07872,1028.7,1089.66,AZU6011 
1711532979,e495b3,-23.644905736890905,-46.6438034345519,79.6242323892797,147.1313210666325,9.7536,1036.3200000000002,1097.2800000000002,AZU6011 
1711532980,e495b3,-23.645510915982527,-46.64338885613205,80.05680932804225,147.3311394659881,9.42848,1043.94,1104.9,AZU6011 
1711532981,e495b3,-23.646148681640625,-46.642964680989564,80.767708,147.22091933193045,9.10336,1059.18,1120.14,AZU6011 
1711532982,e495b3,-23.64681437864141,-46.6424560546875,81.47890034773764,147.112622925985,8.45312,1066.8,1127.76,AZU6011 
1711532983,e495b3,-23.647476196289062,-46.641998291015625,82.19037874773666,147.00620107409216,8.45312,1074.42,1135.38,AZU6011 
1711532984,e495b3,-23.648162841796875,-46.64154052734375,83.33357659748344,147.0947570770121,8.45312,1082.04,1150.62,AZU6011 
1711532985,e495b3,-23.64872302039197,-46.641160497125554,83.76595463720788,147.28591608099669,8.45312,1089.66,1150.6200000000001,AZU6011 
1711532986,e495b3,-23.649398803710938,-46.64067586263019,84.9097575248152,147.3690615259255,8.45312,1104.9,1165.8600000000001,AZU6011 
1711532987,e495b3,-23.650039672851562,-46.640218098958314,84.9097575248152,147.3690615259255,8.77824,1112.52,1165.8600000000001,AZU6011 
1711532988,e495b3,-23.650398900953405,-46.63996858416863,85.3434532137753,147.55529674078858,8.77824,1112.52,1173.48,AZU6011 
1711532989,e495b3,-23.651458740234375,-46.639251708984375,87.52505357308075,148.45868460861502,8.77824,1127.76,1188.72,AZU6011 
1711532990,e495b3,-23.652214438228327,-46.638776671211644,88.5800268041511,149.26451229807992,9.10336,1135.38,1196.3400000000001,AZU6011 
1711532991,e495b3,-23.6527730650821,-46.638465737396814,89.39639501691214,150.3369113377359,9.42848,1143.0,1211.58,AZU6011 
1711532992,e495b3,-23.65347134864936,-46.638051158976964,89.39639501691214,150.3369113377359,9.7536,1158.24,1211.5800000000002,AZU6011 
1711532993,e495b3,-23.65412307997883,-46.63768840285968,91.57681208723946,152.57125877832243,10.40384,1165.8600000000001,1234.44,AZU6011 
1711532994,e495b3,-23.65484619140625,-46.63731892903644,91.57681208723946,152.57125877832243,10.40384,1173.48,1234.44,AZU6011 
1711532995,e495b3,-23.6555661993512,-46.63691106832249,92.25918847611891,153.86358755562412,10.40384,1181.1000000000001,1242.06,AZU6011 
