time,icao24,lat,lon,velocity,heading,vertrate,baroaltitude,geoaltitude,callsign
1711617842,e481d7,-23.640106201171875,-46.64738972981769,87.52505357308075,148.45868460861502,16.90624,906.7800000000001,,
1711617843,e481d7,-23.640762587725135,-46.64691277270043,87.52505357308075,148.45868460861502,17.231360000000002,922.0200000000001,982.9800000000001,
1711617844,e481d7,-23.641159057617188,-46.646677652994754,87.52505357308075,148.45868460861502,17.231360000000002,929.6400000000001,982.9800000000001,
1711617845,e481d7,-23.642257690429688,-46.64591471354163,88.0676441688979,147.88818512576572,16.90624,960.12,1021.08,
1711617846,e481d7,-23.642950542902554,-46.64546174823113,88.77699755944712,147.78345394142437,16.256,975.36,1021.08,
1711617847,e481d7,-23.643462617518537,-46.64509899211379,89.05232187910791,147.50342189800227,15.93088,982.98,1043.94,
1711617848,e481d7,-23.644134521484375,-46.64459228515625,89.32976029134228,147.22512267573578,15.280640000000002,998.22,1059.18,
1711617849,e481d7,-23.644859184653114,-46.64411436836673,89.76273889563264,147.40288312176523,14.955520000000002,1013.46,1066.8,
1711617850,e481d7,-23.645371259269098,-46.64375161224939,89.76273889563264,147.40288312176523,14.955520000000002,1028.7,1082.04,GLO1402 
1711617851,e481d7,-23.646377563476562,-46.64311726888019,91.06676005330208,147.92599912470595,14.305280000000002,1043.94,1104.9,GLO1402 
1711617852,e481d7,-23.646926879882812,-46.642710367838504,91.23225957043485,148.37133196989194,13.980160000000001,1059.18,1120.1399999999999,GLO1402 
1711617853,e481d7,-23.647652318922155,-46.642248765477575,91.84374365438143,148.98120431145264,13.655040000000001,1066.8,1135.38,GLO1402 
1711617854,e481d7,-23.6484902592029,-46.64167872015037,92.02222652416422,149.42077312751098,13.329920000000001,1082.04,1150.6200000000001,GLO1402 
1711617855,e481d7,-23.649215698242188,-46.6412353515625,92.84253406149317,150.45201064112968,12.029440000000001,1097.28,1158.24,GLO1402 
1711617856,e481d7,-23.6495361328125,-46.641082763671875,93.24075754259829,151.31385242626055,10.72896,1097.28,1165.86,GLO1402 
1711617857,e481d7,-23.650585109904682,-46.64048680719338,94.33421783583093,152.73625443993853,9.42848,1112.52,1181.1,GLO1402 
1711617858,e481d7,-23.651046752929688,-46.640218098958314,95.02185931791124,153.98985427663214,8.128,1120.14,1196.3400000000001,GLO1402 
1711617859,e481d7,-23.652603149414062,-46.63945515950519,95.02185931791124,153.98985427663214,8.128,1127.76,1188.72,GLO1402 
1711617860,e481d7,-23.652969360351562,-46.639353434244754,98.2103103999856,158.81165425097277,5.52704,1127.76,1203.96,GLO1402 
1711617861,e481d7,-23.653610229492188,-46.639048258463504,99.39958049979028,161.28373209806645,4.8768,1135.38,1211.5800000000002,GLO1402 
1711617862,e481d7,-23.6546630859375,-46.638692220052064,100.62608802265623,163.97413255155024,4.55168,1143.0,1211.5800000000002,GLO1402 
1711617863,e481d7,-23.6546630859375,-46.638692220052064,100.62608802265623,163.97413255155024,4.55168,1143.0,1211.5800000000002,GLO1402 
1711617864,e481d7,-23.65626448291846,-46.6383102704894,103.43906971420104,169.97551320405339,4.55168,1150.6200000000001,1226.8200000000002,GLO1402 
1711617865,e481d7,-23.6575927734375,-46.638081868489564,104.71052369497225,172.94481393890334,4.8768,1158.24,1226.8200000000002,GLO1402 
1711617866,e481d7,-23.658126572431172,-46.63799933667451,104.71052369497225,172.94481393890334,4.8768,1158.24,1226.82,GLO1402 
1711617867,e481d7,-23.659469604492188,-46.63798014322913,107.04886193504723,178.3476953223487,6.1772800000000005,1165.8600000000001,1242.0600000000002,GLO1402 
1711617868,e481d7,-23.660454184322077,-46.63794751437206,108.0381393555727,180.5456575934157,6.502400000000001,1173.48,1249.68,GLO1402 
1711617869,e481d7,-23.661617990267473,-46.63799933667451,108.59156134991684,181.62882494052573,6.502400000000001,1181.1000000000001,1249.68,GLO1402 
1711617870,e481d7,-23.662036960407875,-46.63799933667451,109.75033079616101,183.22452260651988,6.827520000000001,1181.1000000000001,1257.3000000000002,GLO1402 
1711617871,e481d7,-23.662994384765625,-46.638081868489564,110.43783959192865,184.54199568026672,6.502400000000001,1188.72,1264.92,GLO1402 
1711617872,e481d7,-23.663992154396226,-46.638206625884436,111.59522443466663,185.29008120537125,6.1772800000000005,1196.3400000000001,1272.5400000000002,GLO1402 
1711617873,e481d7,-23.665420532226562,-46.638387044270814,112.82637750739673,186.28249208816138,5.8521600000000005,1203.96,1280.16,GLO1402 
1711617874,e481d7,-23.66583251953125,-46.638437906901004,112.82637750739673,186.28249208816138,5.8521600000000005,1203.96,1280.16,GLO1402 
1711617875,e481d7,-23.66729736328125,-46.63862120430423,114.66678647600949,187.47573738554823,6.1772800000000005,1211.5800000000002,1287.7800000000002,GLO1402 
1711617876,e481d7,-23.66729736328125,-46.63862120430423,115.82418474094192,187.91416450904765,6.1772800000000005,1211.5800000000002,1287.7800000000002,GLO1402 
1711617877,e481d7,-23.66729736328125,-46.63862120430423,115.82418474094192,187.91416450904765,6.1772800000000005,1211.5800000000002,1287.7800000000002,GLO1402 
1711617878,e481d7,-23.669540405273438,-46.638997395833314,115.82418474094192,187.91416450904765,6.1772800000000005,1226.8200000000002,1287.7800000000002,GLO1402 
1711617879,e481d7,-23.67169189453125,-46.639353434244754,115.82418474094192,187.91416450904765,6.1772800000000005,1234.44,1287.7800000000002,GLO1402 
1711617880,e481d7,-23.67169189453125,-46.639353434244754,115.82418474094192,187.91416450904765,6.1772800000000005,1234.44,1287.7800000000002,GLO1402 
1711617881,e481d7,-23.67169189453125,-46.639353434244754,115.82418474094192,187.91416450904765,6.1772800000000005,1234.44,1287.7800000000002,GLO1402 
1711617882,e481d7,-23.67169189453125,-46.639353434244754,115.82418474094192,187.91416450904765,6.1772800000000005,1234.44,1287.7800000000002,GLO1402 
1711617883,e481d7,-23.67169189453125,-46.639353434244754,122.63313439137565,189.6598930784423,4.8768,1234.44,1310.64,GLO1402 
1711617884,e481d7,-23.67169189453125,-46.639353434244754,122.63313439137565,189.6598930784423,4.8768,1234.44,1310.64,GLO1402 
1711617885,e481d7,-23.67169189453125,-46.639353434244754,122.63313439137565,189.6598930784423,4.8768,1234.44,1310.64,GLO1402 
1711617886,e481d7,-23.67864990234375,-46.640625,124.24115499445907,189.77434515209222,5.52704,1272.54,1348.74,GLO1402 
1711617887,e481d7,-23.67864990234375,-46.640625,124.24115499445907,189.77434515209222,5.52704,1272.54,1348.74,GLO1402 
1711617888,e481d7,-23.67864990234375,-46.640625,124.24115499445907,189.77434515209222,5.52704,1272.54,1348.74,GLO1402 
1711617889,e481d7,-23.67864990234375,-46.640625,127.284091691847,189.53846273398614,9.42848,1272.54,1356.36,GLO1402 
1711617890,e481d7,-23.683823407706598,-46.641575075545404,127.284091691847,189.53846273398614,9.42848,1310.64,1356.36,GLO1402 
1711617891,e481d7,-23.683823407706598,-46.641575075545404,127.284091691847,189.53846273398614,9.42848,1310.64,1356.36,GLO1402 
1711617892,e481d7,-23.683823407706598,-46.641575075545404,127.284091691847,189.53846273398614,9.42848,1310.64,1356.36,GLO1402 
1711617893,e481d7,-23.683823407706598,-46.641575075545404,127.284091691847,189.53846273398614,9.42848,1310.64,1356.36,GLO1402 
1711617894,e481d7,-23.683823407706598,-46.641575075545404,127.284091691847,189.53846273398614,9.42848,1310.64,1356.36,GLO1402 
1711617895,e481d7,-23.683823407706598,-46.641575075545404,127.284091691847,189.53846273398614,9.42848,1310.64,1356.36,GLO1402 
1711617896,e481d7,-23.683823407706598,-46.641575075545404,127.284091691847,189.53846273398614,9.42848,1310.64,1356.36,GLO1402 
1711617897,e481d7,-23.69146728515625,-46.64286295572913,127.284091691847,189.53846273398614,9.42848,1386.8400000000001,1356.36,GLO1402 
1711617898,e481d7,-23.69146728515625,-46.64286295572913,127.284091691847,189.53846273398614,9.42848,1386.8400000000001,1356.36,GLO1402 
1711617899,e481d7,-23.693801879882812,-46.643269856770814,132.0478643167899,188.28794156785784,11.05408,1409.7,1470.66,GLO1402 
1711617900,e481d7,-23.694305419921875,-46.643320719401004,132.0478643167899,188.28794156785784,11.05408,1409.7,1470.66,GLO1402 
1711617901,e481d7,-23.694305419921875,-46.643320719401004,132.0478643167899,188.28794156785784,11.05408,1409.7,1470.66,GLO1402 
1711617902,e481d7,-23.694305419921875,-46.643320719401004,132.0478643167899,188.28794156785784,11.05408,1409.7,1470.66,GLO1402 
1711617903,e481d7,-23.694305419921875,-46.643320719401004,132.0478643167899,188.28794156785784,11.05408,1409.7,1470.66,GLO1402 
1711617904,e481d7,-23.694305419921875,-46.643320719401004,132.0478643167899,188.28794156785784,11.05408,1409.7,1470.66,GLO1402 
1711617905,e481d7,-23.694305419921875,-46.643320719401004,132.0478643167899,188.28794156785784,11.05408,1409.7,1470.66,GLO1402 
1711617906,e481d7,-23.694305419921875,-46.643320719401004,132.0478643167899,188.28794156785784,11.05408,1409.7,1470.66,GLO1402 
1711617907,e481d7,-23.694305419921875,-46.643320719401004,132.0478643167899,188.28794156785784,11.05408,1409.7,1470.66,GLO1402 
1711617908,e481d7,-23.694305419921875,-46.643320719401004,132.0478643167899,188.28794156785784,11.05408,1409.7,1470.66,GLO1402 
1711617909,e481d7,-23.694305419921875,-46.643320719401004,132.0478643167899,188.28794156785784,11.05408,1409.7,1470.66,GLO1402 
1711617910,e481d7,-23.694305419921875,-46.643320719401004,132.0478643167899,188.28794156785784,11.05408,1409.7,1470.66,GLO1402 
1711617911,e481d7,-23.694305419921875,-46.643320719401004,132.0478643167899,188.28794156785784,11.05408,1409.7,1470.66,GLO1402 
1711617912,e481d7,-23.694305419921875,-46.643320719401004,132.0478643167899,188.28794156785784,11.05408,1409.7,1470.66,GLO1402 
1711617913,e481d7,-23.694305419921875,-46.643320719401004,132.0478643167899,188.28794156785784,11.05408,1409.7,1470.66,GLO1402 
1711617914,e481d7,-23.694305419921875,-46.643320719401004,132.0478643167899,188.28794156785784,11.05408,1409.7,1470.66,GLO1402 
1711617915,e481d7,-23.694305419921875,-46.643320719401004,132.0478643167899,188.28794156785784,11.05408,1409.7,1470.66,GLO1402 
1711617916,e481d7,-23.694305419921875,-46.643320719401004,132.0478643167899,188.28794156785784,11.05408,1409.7,1470.66,GLO1402 
1711617917,e481d7,-23.694305419921875,-46.643320719401004,132.0478643167899,188.28794156785784,11.05408,1409.7,1470.66,GLO1402 
