time,icao24,lat,lon,velocity,heading,vertrate,baroaltitude,geoaltitude,callsign
1711565075,e48e09,-23.640289306640625,-46.64703369140625,86.76430162096344,147.34642066872684,19.182080000000003,960.12,,
1711565076,e48e09,-23.640518188476562,-46.64683024088538,86.76430162096344,147.34642066872684,19.182080000000003,967.74,1021.08,
1711565077,e48e09,-23.64118155786548,-46.646394549675676,87.04295185082712,147.0613094570445,20.15744,982.98,1051.56,
1711565078,e48e09,-23.641845703125,-46.64591471354163,87.04295185082712,147.0613094570445,20.15744,1005.84,1059.18,
1711565079,e48e09,-23.64248502052436,-46.64546174823113,86.61165494816457,146.87626440375962,20.482560000000003,1028.7,1059.18,
1711565080,e48e09,-23.64327640856726,-46.64489170290386,86.89384045632971,146.59217541029105,20.80768,1051.56,1097.28,
1711565081,e48e09,-23.643951416015625,-46.64438883463538,86.89384045632971,146.59217541029105,20.80768,1074.42,1120.1399999999999,
1711565082,e48e09,-23.644347110037074,-46.64411436836673,86.75057441948898,146.12146019489037,20.482560000000003,1082.04,1135.38,GLO1452 
1711565083,e48e09,-23.644729614257812,-46.643829345703125,86.75057441948898,146.12146019489037,20.15744,1097.28,1158.24,GLO1452 
1711565084,e48e09,-23.644729614257812,-46.643829345703125,87.03839100660122,145.84030545433058,19.182080000000003,1097.28,1173.48,GLO1452 
1711565085,e48e09,-23.646286010742188,-46.642710367838504,87.60665639632641,146.4965630175858,16.90624,1135.38,1211.5800000000002,GLO1452 
1711565086,e48e09,-23.64723334878181,-46.64204147626765,88.1862659781066,147.14427804956702,15.60576,1150.6200000000001,1211.5800000000002,GLO1452 
1711565087,e48e09,-23.647933959960938,-46.64159138997394,88.1862659781066,147.14427804956702,15.60576,1165.8600000000001,1219.2,GLO1452 
1711565088,e48e09,-23.648483276367188,-46.6412353515625,88.94080663494705,148.2405199151872,14.305280000000002,1173.48,1242.06,GLO1452 
1711565089,e48e09,-23.64935302734375,-46.64072672526038,89.72735163229915,149.31793136312797,12.679680000000001,1181.1000000000001,1249.68,GLO1452 
1711565090,e48e09,-23.65011958752649,-46.64033134028597,90.49097744027841,151.1035837361874,11.3792,1188.72,1257.3,GLO1452 
1711565091,e48e09,-23.650863647460938,-46.6400146484375,91.79906871503933,153.0041616059134,10.07872,1196.3400000000001,1272.5400000000002,GLO1452 
1711565092,e48e09,-23.651702363612287,-46.63965765035374,92.77266920883466,155.4245728034453,8.77824,1203.96,1272.5400000000002,GLO1452 
1711565093,e48e09,-23.65283203125,-46.639251708984375,95.51079244613555,160.49149101319188,6.827520000000001,1211.5800000000002,1280.16,GLO1452 
1711565094,e48e09,-23.653152465820312,-46.63914998372394,95.51079244613555,160.49149101319188,6.827520000000001,1211.5800000000002,1280.16,GLO1452 
1711565095,e48e09,-23.654029975503192,-46.63893213811912,97.1700151779605,163.38791966354037,6.502400000000001,1219.2,1287.7800000000002,GLO1452 
1711565096,e48e09,-23.654571533203125,-46.63889567057288,98.44716314647903,166.39945748334125,6.1772800000000005,1219.2,1295.4,GLO1452 
1711565097,e48e09,-23.65547309487556,-46.638776671211644,101.20435465034268,172.40535663140858,6.1772800000000005,1226.8200000000002,1310.64,GLO1452 
1711565098,e48e09,-23.656768798828125,-46.638641357421875,102.19194070819165,175.3800765183396,6.1772800000000005,1242.0600000000002,1325.88,GLO1452 
1711565099,e48e09,-23.658126572431172,-46.63867302660668,103.46593085915383,178.00543069875815,6.502400000000001,1249.68,1318.2600000000002,GLO1452 
1711565100,e48e09,-23.658126572431172,-46.63867302660668,103.46593085915383,178.00543069875815,6.502400000000001,1249.68,1325.88,GLO1452 
1711565101,e48e09,-23.65961624404133,-46.638776671211644,104.43720029080619,180.56447217530695,6.827520000000001,1257.3,1333.5,GLO1452 
1711565102,e48e09,-23.66040763208423,-46.638828493514154,105.58641959245517,182.7927023657133,7.152640000000001,1264.92,1341.1200000000001,GLO1452 
1711565103,e48e09,-23.661758422851562,-46.639048258463504,106.80754457858902,184.4198711388547,7.152640000000001,1280.16,1348.74,GLO1452 
1711565104,e48e09,-23.662316273834733,-46.63908760502653,108.0601837067594,185.7377346700564,7.477760000000001,1280.16,1356.3600000000001,GLO1452 
1711565105,e48e09,-23.66310766187769,-46.63924307193395,108.85810085700345,187.05784664988107,7.477760000000001,1287.78,1356.3600000000001,GLO1452 
1711565106,e48e09,-23.664736990201277,-46.639502183446325,110.07779351436766,187.78928547796167,7.152640000000001,1295.4,1371.6,GLO1452 
1711565107,e48e09,-23.664736990201277,-46.639502183446325,111.24011407991252,188.24252035151886,7.152640000000001,1295.4,1379.22,GLO1452 
1711565108,e48e09,-23.666738736427476,-46.639864939563665,112.40925130120884,188.68635458123666,7.152640000000001,1310.64,1379.22,GLO1452 
1711565109,e48e09,-23.666738736427476,-46.639864939563665,113.58499468570162,189.121025994532,7.152640000000001,1310.64,1394.46,GLO1452 
1711565110,e48e09,-23.668833587129257,-46.640227695681006,113.58499468570162,189.121025994532,7.152640000000001,1318.26,1394.46,GLO1452 
1711565111,e48e09,-23.66920600503181,-46.64033134028597,115.86759068355141,189.71325102494026,7.152640000000001,1325.88,1409.7,GLO1452 
1711565112,e48e09,-23.66920600503181,-46.64033134028597,115.86759068355141,189.71325102494026,7.152640000000001,1325.88,1409.7,GLO1452 
1711565113,e48e09,-23.66920600503181,-46.64033134028597,115.86759068355141,189.71325102494026,7.152640000000001,1325.88,1409.7,GLO1452 
1711565114,e48e09,-23.66920600503181,-46.64033134028597,115.86759068355141,189.71325102494026,7.152640000000001,1325.88,1409.7,GLO1452 
