time,icao24,lat,lon,velocity,heading,vertrate,baroaltitude,geoaltitude,callsign
1711300202,e486c3,-23.639459125066196,-46.6474828180277,83.75489590393397,146.01711161878922,14.305280000000002,952.5,990.6,
1711300203,e486c3,-23.640157408633513,-46.647016417305394,83.75489590393397,146.01711161878922,12.679680000000001,967.74,1005.84,
1711300204,e486c3,-23.640518188476562,-46.64683024088538,83.75489590393397,146.01711161878922,12.679680000000001,975.36,1013.46,
1711300205,e486c3,-23.64111328125,-46.646270751953125,84.46913567396413,145.92280471986928,11.05408,982.98,1028.7,TAM3192 
1711300206,e486c3,-23.641754150390625,-46.64581298828125,84.75845455113443,145.63476093874033,9.7536,990.6,1043.94,TAM3192 
1711300207,e486c3,-23.642440795898438,-46.64530436197913,85.47359725259773,145.54475887500678,8.77824,998.22,1051.56,TAM3192 
1711300208,e486c3,-23.643264770507812,-46.644744873046875,85.47359725259773,145.54475887500678,8.77824,1013.46,1066.8,TAM3192 
1711300209,e486c3,-23.64388158765894,-46.644269835274144,85.47359725259773,145.54475887500678,8.77824,1021.08,1059.18,TAM3192 
1711300210,e486c3,-23.644546508789062,-46.64372762044269,86.90449975492658,145.369199619743,8.77824,1028.7,1074.42,TAM3192 
1711300211,e486c3,-23.64527815479346,-46.64312974461967,86.90449975492658,145.369199619743,7.152640000000001,1036.3200000000002,1089.66,TAM3192 
1711300212,e486c3,-23.64597643836072,-46.642611521594915,87.67309142847641,144.07149757717718,6.1772800000000005,1043.94,1097.28,TAM3192 
1711300213,e486c3,-23.64605712890625,-46.64250691731769,87.67309142847641,144.07149757717718,6.1772800000000005,1043.94,1089.66,TAM3192 
1711300214,e486c3,-23.64605712890625,-46.64250691731769,88.17576162845097,143.06324616569725,5.8521600000000005,1043.94,1097.28,TAM3192 
1711300215,e486c3,-23.646721274165827,-46.64204147626765,88.86191814006061,140.87396151619194,5.52704,1051.56,1104.8999999999999,TAM3192 
1711300216,e486c3,-23.64793163234907,-46.640849563310724,89.63144096829201,138.25722194066697,5.52704,1059.18,1112.52,TAM3192 
1711300217,e486c3,-23.6484375,-46.640268961588504,90.22591020446045,135.9240453527727,5.52704,1066.8,1120.1399999999999,TAM3192 
1711300218,e486c3,-23.648895263671875,-46.63976033528644,90.98826047701073,133.16716049405795,5.52704,1074.42,1120.1399999999999,TAM3192 
1711300219,e486c3,-23.64937475172144,-46.639139427328985,91.9574945621806,130.46222749209338,5.20192,1074.42,1127.76,TAM3192 
1711300220,e486c3,-23.650222778320312,-46.63792928059894,92.40537011691423,127.76307797403199,5.20192,1082.04,1143.0,TAM3192 
1711300221,e486c3,-23.650497436523438,-46.637420654296875,92.76125770546004,124.8358303641549,5.20192,1089.66,1135.3799999999999,TAM3192 
1711300222,e486c3,-23.650955200195312,-46.63665771484375,93.03901436376188,122.81136679806812,5.52704,1089.66,1143.0,TAM3192 
1711300223,e486c3,-23.651412963867188,-46.635945638020814,93.69662221072535,121.07165806084632,4.8768,1097.28,1150.62,TAM3192 
1711300224,e486c3,-23.652053833007812,-46.634724934895814,94.2458038273452,119.78367328797704,4.8768,1104.9,1158.24,TAM3192 
1711300225,e486c3,-23.652447199417395,-46.63390537477886,95.74741288030211,118.21735585472932,4.22656,1104.9,1165.8600000000001,TAM3192 
1711300226,e486c3,-23.65286616955774,-46.63302439563677,96.41537013568947,117.65887110502736,4.55168,1112.52,1173.48,TAM3192 
